Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,237.9285281,0.0,0.0,0.0,24.9203635341,149.522181205,0.02,0.0,0.02
 01/01  02:00:00,237.92852909,0.0,0.0,0.0,24.9203635341,149.522181205,2.18836097349,0.0,2.18836097349
 01/01  03:00:00,237.928529552,0.0,0.0,0.0,24.9203635341,149.522181205,2.1883958937,0.0,2.1883958937
 01/01  04:00:00,237.928529469,0.0,0.0,0.0,24.9203635341,149.522181205,2.18843092368,0.0,2.18843092368
 01/01  05:00:00,250.150727255,0.0,0.0,0.0,24.9203635341,149.522181205,0.02,0.0,0.02
 01/01  06:00:00,274.596464535,0.0,0.0,0.0,24.9203635341,149.522181205,4.36088200873,0.0,4.36088200873
 01/01  07:00:00,323.483914578,0.0,0.0,0.0,24.9203635341,149.522181205,0.02,0.0,0.02
 01/01  08:00:00,296.666310767,0.0,0.0,0.0,24.9203635341,149.522181205,2.1884889209,0.0,2.1884889209
 01/01  09:00:00,296.66631108,0.0,0.0,0.0,24.9203635341,149.522181205,2.18852415829,0.0,2.18852415829
 01/01  10:00:00,259.999717506,0.0,0.0,0.0,24.9203635341,149.522181205,2.18833606839,0.0,2.18833606839
 01/01  11:00:00,540.550488163,11.3518870823,264.691320629,0.0,24.9203635341,149.522181205,0.02,0.0,0.02
 01/01  12:00:00,211.1118205,0.0,0.0,0.0,24.9203635341,149.522181205,2.18994302213,0.0,2.18994302213
 01/01  13:00:00,211.11182045,0.0,0.0,0.0,24.9203635341,149.522181205,4.35977048268,0.0,4.35977048268
 01/01  14:00:00,211.113160982,0.0,0.0,0.0,24.9203635341,149.522181205,2.19191141122,0.0,2.19191141122
 01/01  15:00:00,265.993158558,1.89198118038,44.0899646015,0.0,24.9203635341,149.522181205,2.18968633981,0.0,2.18968633981
