Profile_Type,Scenario,Location,Month,Month_Number,Energy_Consumption_kWh,Peak_Demand_kW,Average_Demand_kW,Load_Factor,Days_in_Month,Data_Source,Weather_Station,Climate_Zone,Building_Type,Building_SqFt,EUI_kWh_per_sqft,Hour,Time,Period,Day_Type
Commercial,,Baton Rouge,May,5.0,31886.0,69.7,42.9,0.615,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,5.8,,,,
Commercial,,Baton Rouge,June,6.0,32910.0,72.2,45.7,0.633,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,5.98,,,,
Commercial,,Baton Rouge,July,7.0,36308.0,71.3,48.8,0.684,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,6.6,,,,
Commercial,,Baton Rouge,August,8.0,35548.0,72.2,47.8,0.662,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,6.46,,,,
Commercial,,Baton Rouge,September,9.0,32755.0,73.5,45.5,0.619,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,5.96,,,,
Commercial,,Baton Rouge,October,10.0,29331.0,69.0,39.4,0.571,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,5.33,,,,
Commercial,,Baton Rouge,November,11.0,25886.0,62.5,36.0,0.576,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,4.71,,,,
Commercial,,Baton Rouge,December,12.0,25680.0,55.4,34.5,0.623,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,4.67,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,353910.0,73.5,40.4,0.549,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Full Service Restaurant,5500.0,64.35,,,,
Commercial,,Baton Rouge,January,1.0,18394.0,47.6,24.7,0.52,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.55,,,,
Commercial,,Baton Rouge,February,2.0,15988.0,45.7,23.8,0.52,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.47,,,,
Commercial,,Baton Rouge,March,3.0,19712.0,53.5,26.5,0.495,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.58,,,,
Commercial,,Baton Rouge,April,4.0,21168.0,57.2,29.4,0.514,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.63,,,,
Commercial,,Baton Rouge,May,5.0,26718.0,68.2,35.9,0.526,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.79,,,,
Commercial,,Baton Rouge,June,6.0,28427.0,71.4,39.5,0.553,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.84,,,,
Commercial,,Baton Rouge,July,7.0,31570.0,71.4,42.4,0.594,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.94,,,,
Commercial,,Baton Rouge,August,8.0,30903.0,72.8,41.5,0.571,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.92,,,,
Commercial,,Baton Rouge,September,9.0,27241.0,73.6,37.8,0.514,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.81,,,,
Commercial,,Baton Rouge,October,10.0,22730.0,63.5,30.6,0.481,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.67,,,,
Commercial,,Baton Rouge,November,11.0,18348.0,55.8,25.5,0.456,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.54,,,,
Commercial,,Baton Rouge,December,12.0,17727.0,41.4,23.8,0.576,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,0.53,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,278925.0,73.6,31.8,0.432,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Midrise Apartment,33700.0,8.28,,,,
Hourly,,Baton Rouge,July,,,,40.2,0.245,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,0.0,00:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,40.3,0.245,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,1.0,01:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,38.8,0.236,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,2.0,02:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,38.0,0.231,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,3.0,03:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,38.3,0.233,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,4.0,04:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,40.6,0.247,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,5.0,05:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,60.6,0.369,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,6.0,06:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,78.5,0.478,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,7.0,07:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,145.2,0.884,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,8.0,08:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,145.3,0.884,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,9.0,09:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,150.3,0.915,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,10.0,10:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,155.7,0.948,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,11.0,11:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,155.0,0.944,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,12.0,12:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,160.3,0.976,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,13.0,13:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,161.1,0.98,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,14.0,14:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,161.9,0.986,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,15.0,15:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,164.3,1.0,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,16.0,16:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,149.9,0.913,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,17.0,17:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,108.6,0.661,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,18.0,18:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,99.6,0.606,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,19.0,19:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,94.1,0.573,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,20.0,20:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,89.9,0.547,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,21.0,21:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,41.0,0.25,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,22.0,22:00,Night (baseload),Weekday
Hourly,,Baton Rouge,July,,,,41.4,0.252,,EnergyPlus DOE Commercial Reference Building,,,Medium Office,,,23.0,23:00,Night (baseload),Weekday
Hourly,,Baton Rouge,July,,,,924.4,0.664,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,0.0,00:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,923.4,0.663,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,1.0,01:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,922.3,0.662,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,2.0,02:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,921.4,0.662,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,3.0,03:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,989.6,0.711,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,4.0,04:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,1000.2,0.718,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,5.0,05:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,1178.8,0.847,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,6.0,06:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,1275.8,0.916,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,7.0,07:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,1335.6,0.959,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,8.0,08:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,1365.0,0.98,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,9.0,09:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,1379.7,0.991,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,10.0,10:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,1386.7,0.996,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,11.0,11:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,1361.2,0.978,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,12.0,12:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,1386.9,0.996,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,13.0,13:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,1390.0,0.998,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,14.0,14:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,1392.3,1.0,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,15.0,15:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,1391.4,0.999,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,16.0,16:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,1379.6,0.991,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,17.0,17:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,1122.1,0.806,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,18.0,18:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,1117.1,0.802,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,19.0,19:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,1024.3,0.736,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,20.0,20:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,994.5,0.714,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,21.0,21:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,940.0,0.675,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,22.0,22:00,Night (baseload),Weekday
Hourly,,Baton Rouge,July,,,,938.5,0.674,,EnergyPlus DOE Commercial Reference Building,,,Hospital,,,23.0,23:00,Night (baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,0.0,00:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,1.0,01:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,2.0,02:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,3.0,03:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,4.0,04:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,5.0,05:00,Off-hours (minimal baseload),Weekday
Hourly,,Baton Rouge,July,,,,29.0,0.273,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,6.0,06:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,33.0,0.311,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,7.0,07:00,Morning ramp-up (HVAC pre-cooling),Weekday
Hourly,,Baton Rouge,July,,,,59.1,0.557,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,8.0,08:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,78.9,0.744,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,9.0,09:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,87.7,0.827,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,10.0,10:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,92.9,0.877,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,11.0,11:00,Morning business hours,Weekday
Hourly,,Baton Rouge,July,,,,99.8,0.942,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,12.0,12:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,102.8,0.97,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,13.0,13:00,Mid-day peak,Weekday
Hourly,,Baton Rouge,July,,,,104.7,0.988,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,14.0,14:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,106.0,1.0,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,15.0,15:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,105.3,0.994,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,16.0,16:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,100.3,0.946,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,17.0,17:00,Afternoon business hours,Weekday
Hourly,,Baton Rouge,July,,,,84.4,0.796,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,18.0,18:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,64.5,0.609,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,19.0,19:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,66.0,0.623,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,20.0,20:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,18.3,0.173,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,21.0,21:00,Evening ramp-down,Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,22.0,22:00,Night (baseload),Weekday
Hourly,,Baton Rouge,July,,,,12.4,0.117,,EnergyPlus DOE Commercial Reference Building,,,Standalone Retail,,,23.0,23:00,Night (baseload),Weekday
